Level1,Level2,Level3,Level4,Level1Image,Level2Image,Level3Image,Level4Image,Litros,Unidades,ValorEUR,Area,Equipo,target
Fabricante,Distribucion Indirecta,AFH,Restauracion,62,64,68,90,795,875,2544,Sur,Equipo Horeca,1816.416
Fabricante,Distribucion Indirecta,AFH,Restauracion,62,64,68,90,905,996,2896,Este,Equipo Horeca,2047.472
Fabricante,Distribucion Indirecta,AFH,Restauracion,62,64,68,90,553,608,1770,Oeste,Equipo Horeca,1787.7
Fabricante,Distribucion Indirecta,AFH,Catering,62,64,68,90,453,498,1450,Norte,Equipo Horeca,1464.5
Fabricante,Distribucion Indirecta,AFH,Catering,62,64,68,90,1187,1306,3798,Sur,Equipo Horeca,3873.96
Fabricante,Distribucion Indirecta,AFH,Catering,62,64,68,90,701,771,2243,Este,Equipo Horeca,2287.86
Fabricante,Distribucion Indirecta,AFH,Catering,62,64,68,90,509,560,1629,Oeste,Equipo Horeca,1645.29
Fabricante,Distribucion Indirecta,HOME,Supermercados,62,64,66,90,792,871,2534,Norte,Equipo Retail,2584.68
Fabricante,Distribucion Indirecta,HOME,Supermercados,62,64,66,90,597,657,1910,Sur,Equipo Retail,1967.3
Fabricante,Distribucion Indirecta,HOME,Supermercados,62,64,66,90,438,482,1402,Este,Equipo Retail,1416.02
Fabricante,Distribucion Indirecta,HOME,Supermercados,62,64,66,90,996,1096,3187,Oeste,Equipo Retail,3250.74
Fabricante,Distribucion Indirecta,HOME,Hipermercados,62,64,66,90,617,679,1974,Norte,Equipo Retail,1993.74
Fabricante,Distribucion Indirecta,HOME,Hipermercados,62,64,66,90,615,677,1968,Sur,Equipo Retail,1987.68
Fabricante,Distribucion Indirecta,HOME,Hipermercados,62,64,66,90,372,409,1190,Este,Equipo Retail,1201.9
Fabricante,Distribucion Indirecta,HOME,Hipermercados,62,64,66,90,1134,1247,3629,Oeste,Equipo Retail,3737.87
Fabricante,Distribucion Indirecta,HOME,Tienda Tradicional,62,64,66,90,515,567,1648,Norte,Equipo Retail,1664.48
Fabricante,Distribucion Indirecta,HOME,Tienda Tradicional,62,64,66,90,1096,1206,3507,Sur,Equipo Retail,3542.07
Fabricante,Distribucion Indirecta,HOME,Tienda Tradicional,62,64,66,90,724,796,2317,Este,Equipo Retail,2340.17
Fabricante,Distribucion Indirecta,HOME,Tienda Tradicional,62,64,66,90,512,563,1638,Oeste,Equipo Retail,1670.76
